match_id,date,day,time,category,group,zone,court,side_a,side_b,our_players,notes
6113,2026-08-14,Friday,15:30,Fri - Mens+ Singles 3.0 35+,Group C,8,29,James Davey,Andrew Laycock,James Davey,
6111,2026-08-14,Friday,16:00,Fri - Mens+ Singles 3.0 35+,Group C,8,30,James Davey,James Deadman,James Davey,
6120,2026-08-14,Friday,16:00,Fri - Mens+ Singles 3.0 35+,Group D,8,31,Daniel Greenhow,Nakul Mukerjee,Daniel Greenhow,
6119,2026-08-14,Friday,16:30,Fri - Mens+ Singles 3.0 35+,Group D,8,31,Daniel Greenhow,Gary Kays,Daniel Greenhow,
6112,2026-08-14,Friday,17:00,Fri - Mens+ Singles 3.0 35+,Group C,8,30,James Davey,Michael Purcell,James Davey,
6118,2026-08-14,Friday,17:00,Fri - Mens+ Singles 3.0 35+,Group D,8,31,Daniel Greenhow,Jason Woodward,Daniel Greenhow,
6107,2026-08-14,Friday,17:30,Fri - Mens+ Singles 3.0 35+,Group C,8,29,Micheal Roche,James Davey,James Davey,
6117,2026-08-14,Friday,17:30,Fri - Mens+ Singles 3.0 35+,Group D,8,31,Daniel Greenhow,Bhavik Patel,Daniel Greenhow,
13251,2026-08-15,Saturday,09:40,Sat - Mens+ Doubles 3.5 35+,Group B,5,18,Ryan Kent & Jack Adams,Leo Loubser & Thomas Mulloy,Ryan Kent / Jack Adams,
13313,2026-08-15,Saturday,09:40,Sat - Mens+ Doubles 3.5 35+,Group H,8,32,Neil Roberts & Gareth Bell,James Davey & Daniel Greenhow,James Davey / Daniel Greenhow,
13248,2026-08-15,Saturday,10:00,Sat - Mens+ Doubles 3.5 35+,Group B,5,18,Will Jackson & Madhusudhan Varma,Ryan Kent & Jack Adams,Ryan Kent / Jack Adams,
13322,2026-08-15,Saturday,10:00,Sat - Mens+ Doubles 3.5 35+,Group H,8,33,Martin Harwood & Nicholas Dunwell,James Davey & Daniel Greenhow,James Davey / Daniel Greenhow,
13252,2026-08-15,Saturday,10:20,Sat - Mens+ Doubles 3.5 35+,Group B,5,18,Ryan Kent & Jack Adams,Hector Warr & Paul Ace,Ryan Kent / Jack Adams,
13317,2026-08-15,Saturday,10:20,Sat - Mens+ Doubles 3.5 35+,Group H,8,34,Juan Dopazo Lodeiro & David Turner,James Davey & Daniel Greenhow,James Davey / Daniel Greenhow,
13245,2026-08-15,Saturday,10:40,Sat - Mens+ Doubles 3.5 35+,Group B,5,17,Dougie Johnston & Micheal Roche,Ryan Kent & Jack Adams,Ryan Kent / Jack Adams,
13323,2026-08-15,Saturday,10:40,Sat - Mens+ Doubles 3.5 35+,Group H,8,34,Eddy Tucker & Benjamin Sieley,James Davey & Daniel Greenhow,James Davey / Daniel Greenhow,
13320,2026-08-15,Saturday,11:00,Sat - Mens+ Doubles 3.5 35+,Group H,8,33,Kieran Headley & Danny Taylor,James Davey & Daniel Greenhow,James Davey / Daniel Greenhow,
14852,2026-08-15,Saturday,11:20,Sat - Womens Doubles 3.0 35+,Group A,10,47,Lin Watson & Anna Glotova,Lucy Johnston & Laura Kent,Laura Kent,
14849,2026-08-15,Saturday,11:40,Sat - Womens Doubles 3.0 35+,Group A,10,47,Tetiana Svintsova & Sorokina Tetiana,Lucy Johnston & Laura Kent,Laura Kent,
14854,2026-08-15,Saturday,12:00,Sat - Womens Doubles 3.0 35+,Group A,10,48,Cliodhna Kirwan & Kerrylee Fitzsimons,Lucy Johnston & Laura Kent,Laura Kent,
14855,2026-08-15,Saturday,12:40,Sat - Womens Doubles 3.0 35+,Group A,10,48,Lucy Atkinson & Emily Speller,Lucy Johnston & Laura Kent,Laura Kent,
14814,2026-08-15,Saturday,14:40,Sat - Womens Doubles 3.0 15+,Group A,8,29,Alexa Biddulph & Amelia Harding,Tracey-Anne Greenhow & Holly Davey,Tracey-Anne Greenhow / Holly Davey,
14811,2026-08-15,Saturday,15:00,Sat - Womens Doubles 3.0 15+,Group A,8,29,Uliana Gabruk & Emily King,Tracey-Anne Greenhow & Holly Davey,Tracey-Anne Greenhow / Holly Davey,
14816,2026-08-15,Saturday,15:20,Sat - Womens Doubles 3.0 15+,Group A,8,30,Florence Collins & Michelle Dawson,Tracey-Anne Greenhow & Holly Davey,Tracey-Anne Greenhow / Holly Davey,
